"","id","value","location","sample.date","measure","Year"
"1",2247,0,"Boonsri",1998-01-11,"Arsenic","1998"
"2",8317,0,"Kannika",1998-01-26,"Arsenic","1998"
"3",8798,0,"Kannika",1998-01-26,"Arsenic","1998"
"4",9281,0,"Kannika",1998-01-26,"Arsenic","1998"
"5",5074,0,"Chai",1998-01-31,"Arsenic","1998"
"6",5558,0,"Chai",1998-01-31,"Arsenic","1998"
"7",6036,0,"Chai",1998-01-31,"Arsenic","1998"
"8",2287,0,"Boonsri",1998-02-15,"Arsenic","1998"
"9",5113,0,"Chai",1998-02-20,"Arsenic","1998"
"10",5597,0,"Chai",1998-02-20,"Arsenic","1998"
"11",6075,0,"Chai",1998-02-20,"Arsenic","1998"
"12",8357,0,"Kannika",1998-02-24,"Arsenic","1998"
"13",8838,0,"Kannika",1998-02-24,"Arsenic","1998"
"14",9321,0,"Kannika",1998-02-24,"Arsenic","1998"
"15",2327,0,"Boonsri",1998-03-12,"Arsenic","1998"
"16",5152,0,"Chai",1998-03-19,"Arsenic","1998"
"17",5636,0,"Chai",1998-03-19,"Arsenic","1998"
"18",6114,0,"Chai",1998-03-19,"Arsenic","1998"
"19",8397,0,"Kannika",1998-03-21,"Arsenic","1998"
"20",8878,0,"Kannika",1998-03-21,"Arsenic","1998"
"21",9361,0,"Kannika",1998-03-21,"Arsenic","1998"
"22",2367,0,"Boonsri",1998-04-11,"Arsenic","1998"
"23",2730,0,"Boonsri",1998-04-11,"Arsenic","1998"
"24",4831,0,"Kohsoom",1998-04-16,"Arsenic","1998"
"25",5191,0,"Chai",1998-04-17,"Arsenic","1998"
"26",5675,0,"Chai",1998-04-17,"Arsenic","1998"
"27",6153,0,"Chai",1998-04-17,"Arsenic","1998"
"28",6515,0,"Somchair",1998-04-17,"Arsenic","1998"
"29",8437,0,"Kannika",1998-04-18,"Arsenic","1998"
"30",8918,0,"Kannika",1998-04-18,"Arsenic","1998"
"31",9401,0,"Kannika",1998-04-18,"Arsenic","1998"
"32",9890,0,"Sakda",1998-04-18,"Arsenic","1998"
