Year,region,gdp_growth
1965,America,0.035452697
1965,East Asia & Pacific,0.031715549
1965,Europe & Central Asia,0.03748475
1965,Middle East & North Africa,0.101318351
1965,South Asia,0.004251797
1965,Sub-Saharan Africa,0.028298127
1966,America,0.027328599
1966,East Asia & Pacific,0.025784412
1966,Europe & Central Asia,0.042275447
1966,Middle East & North Africa,0.072114638
1966,South Asia,0.008583984
1966,Sub-Saharan Africa,0.023523605
1967,America,0.024724655
1967,East Asia & Pacific,0.015076868
1967,Europe & Central Asia,0.031298059
1967,Middle East & North Africa,0.103751429
1967,South Asia,0.012050325
1967,Sub-Saharan Africa,0.02221411
1968,America,0.025860538
1968,East Asia & Pacific,0.031689798
1968,Europe & Central Asia,0.038230196
1968,Middle East & North Africa,0.12798159
1968,South Asia,0.024480678
1968,Sub-Saharan Africa,0.011999254
1969,America,0.029199186
1969,East Asia & Pacific,0.042686289
1969,Europe & Central Asia,0.04292123
1969,Middle East & North Africa,0.092091813
1969,South Asia,0.017598737
1969,Sub-Saharan Africa,0.024853393
1970,America,0.026752647
1970,East Asia & Pacific,0.052882155
1970,Europe & Central Asia,0.051732268
1970,Middle East & North Africa,0.064035416
1970,South Asia,0.023458939
1970,Sub-Saharan Africa,0.030996321
1971,America,0.030520394
1971,East Asia & Pacific,0.027192046
1971,Europe & Central Asia,0.044587977
1971,Middle East & North Africa,0.036830826
1971,South Asia,-0.026360369
1971,Sub-Saharan Africa,0.025810101
1972,America,0.027847928
1972,East Asia & Pacific,0.023536048
1972,Europe & Central Asia,0.030589019
1972,Middle East & North Africa,0.055087577
1972,South Asia,-0.029050013
1972,Sub-Saharan Africa,0.01539854
1973,America,0.041675466
1973,East Asia & Pacific,0.06356611
1973,Europe & Central Asia,0.053832882
1973,Middle East & North Africa,0.026640199
1973,South Asia,0.013121853
1973,Sub-Saharan Africa,0.01080912
1974,America,0.034257877
1974,East Asia & Pacific,0.047578084
1974,Europe & Central Asia,0.0374378
1974,Middle East & North Africa,0.187559547
1974,South Asia,0.02886649
1974,Sub-Saharan Africa,0.045801234
1975,America,-0.00204486
1975,East Asia & Pacific,-0.005353307
1975,Europe & Central Asia,0.001512919
1975,Middle East & North Africa,-0.001119444
1975,South Asia,-0.011941279
1975,Sub-Saharan Africa,-0.008062517
1976,America,0.031420317
1976,East Asia & Pacific,0.037752158
1976,Europe & Central Asia,0.037769405
1976,Middle East & North Africa,0.058516562
1976,South Asia,0.016707514
1976,Sub-Saharan Africa,0.020775673
1977,America,0.037397233
1977,East Asia & Pacific,0.026242405
1977,Europe & Central Asia,0.030475356
1977,Middle East & North Africa,0.020494817
1977,South Asia,0.017374293
1977,Sub-Saharan Africa,0.009954013
1978,America,0.039297489
1978,East Asia & Pacific,0.044782719
1978,Europe & Central Asia,0.026073387
1978,Middle East & North Africa,0.006053201
1978,South Asia,0.049742686
1978,Sub-Saharan Africa,0.008035406
1979,America,0.027343061
1979,East Asia & Pacific,0.037057593
1979,Europe & Central Asia,0.022883959
1979,Middle East & North Africa,0.061256946
1979,South Asia,0.008576885
1979,Sub-Saharan Africa,0.009811888
1980,America,0.021729936
1980,East Asia & Pacific,-0.012308766
1980,Europe & Central Asia,0.014176154
1980,Middle East & North Africa,0.033266836
1980,South Asia,0.032735407
1980,Sub-Saharan Africa,-0.004120752
1981,America,0.005420498
1981,East Asia & Pacific,0.01375127
1981,Europe & Central Asia,0.004808722
1981,Middle East & North Africa,-0.043098729
1981,South Asia,0.048541881
1981,Sub-Saharan Africa,-0.003568315
1982,America,-0.036570438
1982,East Asia & Pacific,0.021990272
1982,Europe & Central Asia,0.008627556
1982,Middle East & North Africa,-0.04471357
1982,South Asia,0.024991588
1982,Sub-Saharan Africa,0.003870958
1983,America,-0.021580661
1983,East Asia & Pacific,0.02931999
1983,Europe & Central Asia,0.013570946
1983,Middle East & North Africa,-0.011893342
1983,South Asia,0.040889266
1983,Sub-Saharan Africa,-0.016339781
1984,America,0.011965031
1984,East Asia & Pacific,0.036203626
1984,Europe & Central Asia,0.019158597
1984,Middle East & North Africa,0.022753183
1984,South Asia,0.052666277
1984,Sub-Saharan Africa,-0.020737392
1985,America,0.008098423
