"","location","Year","AGOC-3A","Arsenic","Chlorodinine","Methylosmoline"
"1","Achara","2009",0,0.825,0,0
"2","Achara","2010",0,1.00833333333333,0,0
"3","Achara","2011",0,1.20555555555556,0,0
"4","Achara","2012",0,0.358333333333333,0,0
"5","Achara","2013",0,0.35,0,0
"6","Boonsri","1998",0,0,0,0
"7","Boonsri","2004",0,0.242,0,0
"8","Boonsri","2008",0,1.44,0,0
"9","Boonsri","2010",0,2.34444444444444,0,0
"10","Boonsri","2012",0,0,0,0
"11","Boonsri","2013",0,0,0,0
"12","Boonsri","2014",0.320857142857143,0.78896875,0.25125,0.300035714285714
"13","Boonsri","2015",9.96691428571429,0,0.247028571428571,0.434028571428571
"14","Boonsri","2016",0.0659642857142857,0,0.0292857142857143,0.0409642857142857
"15","Busarakhan","1998",0,0,0,0
"16","Busarakhan","2004",0,2.227,0,0
"17","Busarakhan","2008",0,0.521,0,0
"18","Busarakhan","2009",0,1.15875,0,0
"19","Busarakhan","2010",0,1.0025,0,0
"20","Busarakhan","2011",0,1.41666666666667,0,0
"21","Busarakhan","2012",0,1.75,0,0
"22","Busarakhan","2014",0.2987,1.46,0.2556,0.3033
"23","Busarakhan","2015",0.366,0,0.275,0.311555555555556
"24","Busarakhan","2016",0.750416666666667,1.8,0.0361666666666667,0.0269166666666667
"25","Chai","1998",0,0,0,0
"26","Chai","2004",0,0.1,0,0
"27","Chai","2008",0,0.303181818181818,0,0
"28","Chai","2009",0,1.04703703703704,0,0
"29","Chai","2010",0,0.908611111111111,0,0
"30","Chai","2011",0,1.11333333333333,0,0
"31","Chai","2012",0,1.53333333333333,0,0
"32","Chai","2013",0,2.16666666666667,0,0
"33","Chai","2014",0.515044444444444,1.52222222222222,0.243666666666667,0.299133333333333
"34","Chai","2015",1.42392592592593,0,0.250851851851852,3.55681481481481
"35","Chai","2016",0.24253125,0,0.02290625,1.748125
"36","Decha","2009",0,1.01,0,0
"37","Decha","2011",0,1,0,0
"38","Decha","2014",0,1.83,0,0
"39","Decha","2015",0,2.054,0,0
"40","Decha","2016",0,2.61666666666667,0,0
"41","Kannika","1998",0,0,0,0
"42","Kannika","2008",0,0.448052631578947,0,0
"43","Kannika","2009",0,1.01111111111111,0,0
"44","Kannika","2010",0,0.969722222222222,0,0
"45","Kannika","2011",0,1.27111111111111,0,0
"46","Kannika","2012",0,1.63333333333333,0,0
"47","Kannika","2014",0.52815625,1.59047619047619,0.2381875,0.3010625
"48","Kannika","2015",0.354259259259259,1.89166666666667,0.246740740740741,0.308259259259259
"49","Kannika","2016",0.249333333333333,2.22222222222222,0.0252727272727273,0.0293333333333333
"50","Kohsoom","1998",0,0,0,0
"51","Kohsoom","2004",0,0.819,0,0
"52","Kohsoom","2008",0,1.1,0,0
"53","Kohsoom","2010",0,2.58416666666667,0,0
"54","Kohsoom","2011",0,2.85,0,0
"55","Kohsoom","2012",0,1.61818181818182,0,0
"56","Kohsoom","2013",0,1.50833333333333,0,0
"57","Kohsoom","2014",0.3744,1.475,0.2413,0.3087
"58","Kohsoom","2015",0.564818181818182,0,0.243818181818182,6.42990909090909
"59","Kohsoom","2016",0.0680909090909091,0,0.0677272727272727,58.21
"60","Sakda","1998",0,0,0,0
"61","Sakda","2004",0,0.622,0,0
"62","Sakda","2008",0,0.462954545454545,0,0
"63","Sakda","2009",0,1.05,0,0
"64","Sakda","2010",0,0.993333333333333,0,0
"65","Sakda","2011",0,1.27878787878788,0,0
"66","Sakda","2012",0,1.6,0,0
"67","Sakda","2014",0.461272727272727,1.73333333333333,0.252454545454545,0.304939393939394
"68","Sakda","2015",0.514481481481482,2.275,0.246185185185185,0.295148148148148
"69","Sakda","2016",0.184727272727273,2.19166666666667,0.0286666666666667,0.0283939393939394
"70","Somchair","1998",0,0,0,0
"71","Somchair","2008",0,0.5925,0,0
"72","Somchair","2009",0,1.25777777777778,0,0
"73","Somchair","2010",0,1.18333333333333,0,0
"74","Somchair","2011",0,1.61666666666667,0,0
"75","Somchair","2012",0,1.7,0,0
"76","Somchair","2014",0.2951,1.7,0.2576,0.301
"77","Somchair","2015",0.412777777777778,0,0.253444444444444,4.03111111111111
"78","Somchair","2016",0.580083333333333,0,0.0329166666666667,130.491666666667
"79","Tansanee","2011",0,2.26,0,0
"80","Tansanee","2015",0,4.4678,0,0
