"","location","Year","AGOC-3A","Arsenic","Chlorodinine","Methylosmoline"
"1","Achara","2009",0,8,0,0
"2","Achara","2010",0,12,0,0
"3","Achara","2011",0,18,0,0
"4","Achara","2012",0,12,0,0
"5","Achara","2013",0,12,0,0
"6","Boonsri","1998",0,21,0,0
"7","Boonsri","2004",0,1,0,0
"8","Boonsri","2008",0,6,0,0
"9","Boonsri","2010",0,9,0,0
"10","Boonsri","2012",0,32,0,0
"11","Boonsri","2013",0,36,0,0
"12","Boonsri","2014",28,32,28,28
"13","Boonsri","2015",35,0,35,35
"14","Boonsri","2016",28,0,28,28
"15","Busarakhan","1998",0,3,0,0
"16","Busarakhan","2004",0,1,0,0
"17","Busarakhan","2008",0,8,0,0
"18","Busarakhan","2009",0,8,0,0
"19","Busarakhan","2010",0,12,0,0
"20","Busarakhan","2011",0,12,0,0
"21","Busarakhan","2012",0,2,0,0
"22","Busarakhan","2014",10,5,10,10
"23","Busarakhan","2015",9,0,9,9
"24","Busarakhan","2016",12,1,12,12
"25","Chai","1998",0,36,0,0
"26","Chai","2004",0,1,0,0
"27","Chai","2008",0,22,0,0
"28","Chai","2009",0,27,0,0
"29","Chai","2010",0,36,0,0
"30","Chai","2011",0,30,0,0
"31","Chai","2012",0,6,0,0
"32","Chai","2013",0,3,0,0
"33","Chai","2014",45,9,45,45
"34","Chai","2015",27,0,27,27
"35","Chai","2016",32,0,32,32
"36","Decha","2009",0,3,0,0
"37","Decha","2011",0,3,0,0
"38","Decha","2014",0,7,0,0
"39","Decha","2015",0,5,0,0
"40","Decha","2016",0,3,0,0
"41","Kannika","1998",0,36,0,0
"42","Kannika","2008",0,19,0,0
"43","Kannika","2009",0,27,0,0
"44","Kannika","2010",0,36,0,0
"45","Kannika","2011",0,36,0,0
"46","Kannika","2012",0,9,0,0
"47","Kannika","2014",32,21,32,32
"48","Kannika","2015",27,12,27,27
"49","Kannika","2016",33,36,33,33
"50","Kohsoom","1998",0,6,0,0
"51","Kohsoom","2004",0,1,0,0
"52","Kohsoom","2008",0,1,0,0
"53","Kohsoom","2010",0,12,0,0
"54","Kohsoom","2011",0,10,0,0
"55","Kohsoom","2012",0,11,0,0
"56","Kohsoom","2013",0,12,0,0
"57","Kohsoom","2014",10,12,10,10
"58","Kohsoom","2015",11,0,11,11
"59","Kohsoom","2016",11,0,11,11
"60","Sakda","1998",0,12,0,0
"61","Sakda","2004",0,1,0,0
"62","Sakda","2008",0,22,0,0
"63","Sakda","2009",0,24,0,0
"64","Sakda","2010",0,36,0,0
"65","Sakda","2011",0,33,0,0
"66","Sakda","2012",0,6,0,0
"67","Sakda","2014",33,18,33,33
"68","Sakda","2015",27,12,27,27
"69","Sakda","2016",33,36,33,33
"70","Somchair","1998",0,6,0,0
"71","Somchair","2008",0,8,0,0
"72","Somchair","2009",0,9,0,0
"73","Somchair","2010",0,12,0,0
"74","Somchair","2011",0,12,0,0
"75","Somchair","2012",0,2,0,0
"76","Somchair","2014",10,5,10,10
"77","Somchair","2015",9,0,9,9
"78","Somchair","2016",12,0,12,12
"79","Tansanee","2011",0,1,0,0
"80","Tansanee","2015",0,10,0,0
