"","measure","id","value","location","sample.date","Date","ID","prop_growth","moving_average","unit"
"108190","Sodium",906101,30.9,"Somchair","15-Dec-08",2008-12-15,"Somchair Sodium",-0.122159090909091,33.05,"mg/l"
"108195","Sodium",906054,35.2,"Somchair","5-Dec-08",2008-12-05,"Somchair Sodium",0.154098360655738,32.85,"mg/l"
"108196","Sodium",1009500,46,"Somchair","25-May-09",2009-05-25,"Somchair Sodium",-0.0873015873015873,48.2,"mg/l"
"108197","Sodium",1009433,50.4,"Somchair","25-Apr-09",2009-04-25,"Somchair Sodium",-0.0869565217391305,52.8,"mg/l"
"108201","Sodium",906000,30.5,"Somchair","17-Nov-08",2008-11-17,"Somchair Sodium",0.657608695652174,24.45,"mg/l"
"108202","Sodium",1009379,55.2,"Somchair","27-Mar-09",2009-03-27,"Somchair Sodium",0.078125,53.2,"mg/l"
"108207","Sodium",905646,50.4,"Somchair","3-May-08",2008-05-03,"Somchair Sodium",0.0456431535269709,49.3,"mg/l"
"108210","Sodium",905756,18.4,"Somchair","26-Jun-08",2008-06-26,"Somchair Sodium",-0.390728476821192,24.3,"mg/l"
"108218","Sodium",905699,30.2,"Somchair","30-May-08",2008-05-30,"Somchair Sodium",-0.400793650793651,40.3,"mg/l"
"108220","Sodium",2164785,22.4,"Somchair","25-Oct-13",2013-10-25,"Somchair Sodium",0.0275229357798164,22.1,"mg/l"
"108221","Sodium",1009846,24.8,"Somchair","30-Oct-09",2009-10-30,"Somchair Sodium",-0.150684931506849,27,"mg/l"
"108224","Sodium",2564807,25.2,"Somchair","6-Apr-14",2014-04-06,"Somchair Sodium",0.125,23.8,"mg/l"
"108225","Sodium",1009325,51.2,"Somchair","14-Feb-09",2009-02-14,"Somchair Sodium",0.251833740831296,46.05,"mg/l"
"108229","Sodium",1009568,41.4,"Somchair","28-Jun-09",2009-06-28,"Somchair Sodium",-0.1,43.7,"mg/l"
"108235","Sodium",1009756,29.2,"Somchair","24-Sep-09",2009-09-24,"Somchair Sodium",0.168,27.1,"mg/l"
"108260","Sodium",2164607,21.8,"Somchair","8-Aug-13",2013-08-08,"Somchair Sodium",-0.296774193548387,26.4,"mg/l"
"108266","Sodium",1009272,40.9,"Somchair","24-Jan-09",2009-01-24,"Somchair Sodium",0.323624595469256,35.9,"mg/l"
"108274","Sodium",806701,48.2,"Somchair","22-Dec-07",2007-12-22,"Somchair Sodium",-0.313390313390313,59.2,"mg/l"
"108277","Sodium",1009934,28.9,"Somchair","14-Nov-09",2009-11-14,"Somchair Sodium",0.165322580645161,26.85,"mg/l"
"108278","Sodium",806107,78,"Somchair","28-Mar-07",2007-03-28,"Somchair Sodium",-0.0126582278481013,78.5,"mg/l"
"108290","Sodium",806037,79,"Somchair","22-Feb-07",2007-02-22,"Somchair Sodium",1.25714285714286,57,"mg/l"
"108292","Sodium",806177,76,"Somchair","20-Apr-07",2007-04-20,"Somchair Sodium",-0.0256410256410256,77,"mg/l"
