"","X","ID","X1.2.3.Trichlorobenzene","X1.2.4.Trichlorobenzene","Acenaphthene","Acenaphthylene","AGOC.3A","Alachlor","Aldrin","alpha.Hexachlorocyclohexane","Aluminium","Ammonium","Anionic.active.surfactants","Anthracene","AOX","Arsenic","Atrazine","Barium","Benzo.a.anthracene","Benzo.a.pyrene","Benzo.b.fluoranthene","Benzo.g.h.i.perylene","Benzo.k.fluoranthene","Berilium","beta.Hexaxchlorocyclohexane","Bicarbonates","Biochemical.Oxygen","Boron","Cadmium","Calcium","Carbonates","Cesium","Chemical.Oxygen.Demand..Cr.","Chemical.Oxygen.Demand..Mn.","Chlorides","Chlorodinine","Chromium","Chrysene","Copper","Cyanides","Dieldrin","Dissolved.organic.carbon","Dissolved.oxygen","Dissolved.silicates","Endosulfan..alpha.","Endosulfan..beta.","Endrin","Fecal.coliforms","Fecal.streptococci.","Fluoranthene","Fluorene","gamma.Hexachlorocyclohexane","Heptachlor","Heptachloroepoxide","Hexachlorobenzene","Indeno.1.2.3.c.d.pyrene","Inorganic.nitrogen","Iron","Isodrin","Lead","Macrozoobenthos","Magnesium","Manganese","Mercury","Methoxychlor","Methylosmoline","Metolachlor","Naphthalene","Nickel","Nitrates","Nitrites","Organic.nitrogen","Orthophosphate.phosphorus","Oxygen.saturation","p.p.DDD","p.p.DDE","p.p.DDT","PAHs","PCB.101","PCB.118","PCB.138","PCB.153","PCB.180","PCB.28","PCB.52","Pentachlorobenzene","Petroleum.hydrocarbons","Phenanthrene","Potassium","Pyrene","Selenium","Silica..SiO2.","Simazine","Sodium","Sulfides","Sulphates","Tetrachloromethane","Total.coliforms","Total.dissolved.phosphorus","Total.dissolved.salts","Total.extractable.matter","Total.hardness","Total.nitrogen","Total.organic.carbon","Total.phosphorus","Trifluralin","Water.temperature","Zinc"
"1",1,"Achara 10-Apr-10",0,0,0,0,0,0,0,0,0,-0.557142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27222875048962,0,0,0,0,0,0,0,0,0,0,0,0,0.434925864909391,0,0,0,0,0,0,0,0,0,0,0,0,0.504016064257028,0,0.471698113207547,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584905660377358,0,0.5625,0,0,0
"2",2,"Achara 10-Dec-09",0,0,0,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,42999,0,0,0,0,0,0,0,0,0.0260869565217392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.445193929173693,-0.5,-1.56963333270213,-0.700262927256792,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,0,0,0,0,0,0,0,0,0,0,0,0,-0.270642201834862,0,0,-0.55,0,-0.607142857142857,0,-0.25,-0.5
"3",3,"Achara 10-Dec-10",0,0,0,0,0,0,0,0,0,0.422018348623853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421971252566735,0,0,0,0,0,0,0,0,0,0,0,0,-0.484355444305382,0.181818181818182,0,-0.543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.358024691358025,0,-0.614035087719298,0,0,0
"4",4,"Achara 10-Dec-11",0,0,0,0,0,0,0,0,0,1.17073170731707,0,0,0,13999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802919708029196,0,0,-0.999992307692308,-0.511627906976744,0.171717171717172,0,0,0,0.411764705882353,0,0,0,0.017391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3.63636363636364,0,0,0,0,0,0,0,0.331034482758621,-0.307692307692308,0,-0.63013698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,-0.646017699115044,0,-0.909090909090909,-0.3
"5",5,"Achara 10-Dec-12",0,0,0,0,0,0,0,0,0,0.429906542056075,0,0,0,-0.999928571428571,0,0,0,0,0,0,0,0,0,0,0.3,0,0,-0.237362637362637,0,0,229999,2.52380952380952,-0.466666666666667,0,0,0,0.9375,0,0,0,0.0782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,-0.371794871794872,0,0,0,0,0,0,0,-0.238095238095238,2,0.35,6.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,3.89010989010989,0,-0.375,4
"6",6,"Achara 10-Dec-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382513661202186,1.4,0,0,0,0,0,0.0833333333333333,1.4,-0.318181818181818,0,0,0,0,0,0,0,0.105769230769231,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.260869565217391,0,0,0,0,0,0,0,-0.247706422018349,-0.642857142857143,0,-0.721518987341772,-0.0309278350515464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384615384615385,0,0,0,0,-0.0941176470588235,0,0.196850393700787,0,0,0,0,0,-0.0752587017873942,0.062992125984252,0,-0.666666666666667,0,-0.416666666666667,0
"7",7,"Achara 10-Feb-12",0,0,0,0,0,0,0,0,0,1.09923664122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.129310344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112359550561798,-0.0625000000000001,-0.219512195121951,-0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448275862069,0,0.141025641025641,0,0.5,0
"8",8,"Achara 10-Sep-09",0,0,0,0,0,0,0,0,0,0.419354838709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869565217391303,0,0,0,0,0,-0.125,-0.999975,0,0,0,0,0,0,0,0,0.359375,-0.196620583717358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045569620253164,-0.236363636363636,0.107829351026523,-0.0653594771241831,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638297872340425,0,0,0.0227272727272727,0,0.4,0,-0.19047619047619,-0.868421052631579
"9",9,"Achara 11-Aug-11",0,0,0,0,0,0,0,0,0,-0.608695652173913,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.204545454545455,0,0,0.182108626198083,0,0,-0.99999,-0.46875,0.424657534246575,0,10999,0,-0.473684210526316,0,0,0,0.424242424242424,-0.413612565445026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,-0.940828402366864,0.471264367816092,-0.0555555555555554,0,0.0579710144927535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118012422360248,0,-0.389473684210526,0,0,-0.722222222222222
"10",10,"Achara 11-Dec-10",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.421052631578948,0,0,-0.0717592592592593,0,0,0.5,0.24,-0.239669421487603,0,0,0,0.354838709677419,0,0,0,0.0270270270270271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559502664298403,0,0,0.3,0,-0.0322580645161291,0,0,0,0,0,0,0,0.0873786407766991,-0.461538461538462,-0.5,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833333333333334,0,0.409090909090909,0,0.333333333333333,-0.166666666666667
"11",11,"Achara 11-Feb-10",0,0,0,0,0,0,0,0,0,-0.844789356984479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115621650589496,0,0,0,0,0,0,0,0,0,0,0,0,-0.191489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0.0938215102974827,0.5,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269230769230769,0,-0.166666666666667,0,0,0
"12",12,"Achara 11-Feb-11",0,0,0,0,0,0,0,0,0,-0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111111111111111,0,0,0,0,0,0,0.181818181818182,0,0,0,0,-0.538461538461539,0,0,0,0.140350877192982,-0.115751789976134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117646,0,-0.186666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131736526946108,0,-0.533333333333333,0,0.25,-0.6
"13",13,"Achara 11-Jul-09",0,0,0,0,0,0,0,0,0,1.4375,0,0,0,1.8,0,0,0,0,0,0,0,0,0,-0.1,0.0909090909090908,0,0,0,0,0,0.142857142857143,-0.999972972972973,0,0,5999,0,2.41379310344828,0,0,0,-0.211111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208333333333333,0,2.2,0,0,-0.877777777777778,0,0,0,0,0,0.8,-0.769439421338156,0.393939393939394,4.67304237220765,0.112084063047286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.134328358208955,0,0,-0.285714285714286,0,-0.15,0,-0.153846153846154,0.666666666666667
"14",14,"Achara 11-Jun-11",0,0,0,0,0,0,0,0,0,0.0410958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227272727272728,0,0,-0.0370370370370372,0,0,79999,0.380952380952381,0,0,0,0,-0.321428571428571,0,0,0,-0.174418604651163,0.0552941176470589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0.396551724137931,0,0,0,0,0,0,0,0.0875912408759123,-0.910714285714286,0,-0.414473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,-0.458762886597938,0,0.0454545454545455,2.33333333333333
"15",15,"Achara 11-Jun-16",0,0,0,0,0,0,0,0,0,-0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.444444444444444,0,0,0.318518518518519,0,0,-0.583333333333333,0.0555555555555555,0.260869565217391,0,0,0,0,0,0,0,0.172413793103448,-0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545456,0,0,0,0,0,0,0,-0.126126126126126,-0.289473684210526,0,0.233333333333333,0.358695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333333333333334,0,-0.0412844036697249,0,0,0,0.025974025974026,0,0.236786469344609,-0.227544910179641,0,-0.394366197183099,0,0.444444444444444,0
"16",16,"Achara 11-Nov-11",0,0,0,0,0,0,0,0,0,1.87628865979381,0,0,0,-0.999944444444444,0,0,0,0,0,0,0,0,0,0,0.764705882352941,0,0,0.447183098591549,0,0,-0.99999,-0.352941176470588,0.151162790697675,0,0,0,-0.227272727272727,0,0,0,0.076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6875,0,-0.0833333333333332,0,0,0,0,0,0,-0.999923076923077,0.107843137254902,3.64285714285714,0,-0.411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170068027210884,0,-0.364864864864865,0,-0.0769230769230769,-0.8
"17",17,"Achara 11-Oct-09",0,0,0,0,0,0,0,0,0,-0.765151515151515,0,0,0,-0.285714285714286,0,0,0,0,0,0,0,0,0,-0.157894736842105,-0.428571428571429,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,-0.717171717171717,0,0,0,0.0574712643678161,0.334608030592734,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105263157894737,0,-0.6875,0,0,-0.454545454545455,0,0,0,0,0,-0.333333333333333,-0.145665322580645,-0.357142857142857,-0.302944967248716,-0.17972027972028,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,-0.207407407407407,0,-0.428571428571429,0,0,0
"18",18,"Achara 12-Apr-13",0,0,0,0,0,0,0,0,0,-0.0270270270270271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,-0.150826446280992,0,0,0,-0.21875,-0.217054263565892,0,0,0,0.727272727272727,0,0,0,-0.126865671641791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098360655737705,0,0,0,0,0,0,0,-0.168224299065421,-0.3,0,-0.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261146496815287,0,-0.351351351351351,0,0.4375,0
"19",19,"Achara 12-Aug-10",0,0,0,0,0,0,0,0,0,0.917647058823529,0,0,0,0.0588235294117648,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.202380952380952,0,0,0.2,0.5,0.0842105263157896,0,1,0,-0.0540540540540541,0,0,0,0.0799999999999999,-0.488499872220802,0,0,0,0,0,0,0,0,0,0,0,0,0.010928961748634,0,0,1.8,0,0.0222222222222221,0,0,0,0,0,0,0.1,0.0319284802043423,-0.711538461538462,0.1,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033210332103321,0,-0.288888888888889,0,0.0454545454545455,0
"20",20,"Achara 12-Dec-14",0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090911,1.3,0,0,0.0443037974683545,0,0,0.230769230769231,1.07692307692308,0.389937106918239,0,0,0,0,0,0,0,0.102803738317757,1.58333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545453,299,-0.998181818181818,0,0,0,0,0,-0.235294117647059,-0.7,0,-0.230769230769231,-0.117021276595745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.41304347826087,0,0.394658753709199,0,0,0,0.144144144144144,0,0.196587537091988,-0.145922746781116,-0.0472103004291845,-0.216216216216216,0,-0.9,0
"21",21,"Achara 12-Feb-16",0,0,0,0,0,0,0,0,0,-0.538461538461539,-0.997058823529412,0,0,0,0,0,0,0,0,0,0,0,0,-0.130434782608696,-0.0833333333333332,0,0,-0.0633245382585752,0,0,0,0,-0.101694915254237,0,0,0,0,0,0,0,-0.134920634920635,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743589743589744,0,0,0,0,0,0,0,0,-0.444444444444444,0,-0.25,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258064516129032,0,0,0,0,-0.330645161290323,0,-0.304761904761905,0,0,0,-0.0909090909090909,0,0.0560578661844485,-0.0403225806451613,0,-0.405405405405405,0,0.4,0
"22",22,"Achara 12-Jun-09",0,0,0,0,0,0,0,0,0,-0.924170616113744,0,0,0,-0.705882352941177,0,0,0,0,0,0,0,0,0,0,-0.0833333333333332,0,0,0,0,0,0,36999,0,0,-0.999857142857143,0,-0.452830188679245,0,0,0,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.5,0,0,0,0,0,-0.333333333333333,-0.386237513873474,-0.842857142857143,-1.28648342583237,-0.492444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100502512562814,0,0,-0.557894736842105,0,-0.375,0,0.238095238095238,0.0909090909090909
"23",23,"Achara 12-Mar-16",0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272727272727273,0,0,0.00281690140845074,0,0,0,-0.0960000000000001,0.113207547169811,0,0,0,0,0,0,0,0.036697247706422,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529413,0,0,0,0,0,0,0,0.148936170212766,0.2,0,-0.0833333333333334,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01875,0,0.00342465753424662,-0.00840336134453782,0,0.318181818181818,0,0.428571428571429,0
"24",24,"Achara 13-Aug-09",0,0,0,0,0,0,0,0,0,1.38461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,-0.0416666666666667,0,0,0,0,0,0,39999,0,0,0,0,0,0,0,0,-0.0985915492957746,-0.264406779661017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74509803921569,0.195652173913044,-0.100734878462408,0.204724409448819,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.538461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0.0804597701149425,0,0,1.93333333333333,0,0.176470588235294,0,-0.0454545454545455,0.9
"25",25,"Achara 13-Dec-13",0,0,0,0,0,0,0,0,0,9.26829268292683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0.131519274376417,0,0,0,-0.473684210526316,0.0758620689655172,0,0,0,-0.0666666666666667,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122448979591837,0,-0.996666666666667,0,0,0,0,0,0.0932203389830509,-0.0555555555555556,0,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113300492610837,0,-0.425531914893617,0,0.142857142857143,0
