"","location","Year","mean_v","min_v","max_v","range"
"1","Achara","2009",65.7665451713396,0,16090,"0 , 65.7665451713396 , 16090"
"2","Achara","2010",4.31131485576923,0.006,56,"0.006 , 4.31131485576923 , 56"
"3","Achara","2011",4.29695238095238,0,44.4,"0 , 4.29695238095238 , 44.4"
"4","Achara","2012",4.03266431924883,0,45.5,"0 , 4.03266431924883 , 45.5"
"5","Achara","2013",4.17418918918919,0,49.9,"0 , 4.17418918918919 , 49.9"
"6","Achara","2014",19.1820771929825,0,254,"0 , 19.1820771929825 , 254"
"7","Achara","2015",15.0571210191083,0,160.1,"0 , 15.0571210191083 , 160.1"
"8","Achara","2016",18.5544840764331,0,176,"0 , 18.5544840764331 , 176"
"9","Boonsri","1998",7.44339852941176,0,100,"0 , 7.44339852941176 , 100"
"10","Boonsri","1999",13.6233716525935,0,742,"0 , 13.6233716525935 , 742"
"11","Boonsri","2000",17.1129656816015,0.003,268,"0.003 , 17.1129656816015 , 268"
"12","Boonsri","2001",18.3545476772616,0,261.3,"0 , 18.3545476772616 , 261.3"
"13","Boonsri","2002",17.9624893129771,0,307,"0 , 17.9624893129771 , 307"
"14","Boonsri","2003",16.5208311951384,0,320,"0 , 16.5208311951384 , 320"
"15","Boonsri","2004",15.401017597471,0,572,"0 , 15.401017597471 , 572"
"16","Boonsri","2005",18.2956760909091,0,304,"0 , 18.2956760909091 , 304"
"17","Boonsri","2006",18.1641546973518,0,2330,"0 , 18.1641546973518 , 2330"
"18","Boonsri","2007",17.4515156065089,0,364,"0 , 17.4515156065089 , 364"
"19","Boonsri","2008",22.9371425824082,0,364,"0 , 22.9371425824082 , 364"
"20","Boonsri","2009",19.0870306793596,0,285,"0 , 19.0870306793596 , 285"
"21","Boonsri","2010",19.8621618674269,5e-04,287,"5e-04 , 19.8621618674269 , 287"
"22","Boonsri","2011",22.0906010743062,0,950.7,"0 , 22.0906010743062 , 950.7"
"23","Boonsri","2012",24.2835115928369,0,340,"0 , 24.2835115928369 , 340"
"24","Boonsri","2013",21.4941760359116,0,351,"0 , 21.4941760359116 , 351"
"25","Boonsri","2014",28.155748583878,0,290,"0 , 28.155748583878 , 290"
"26","Boonsri","2015",21.6784041958042,0,271,"0 , 21.6784041958042 , 271"
"27","Boonsri","2016",22.8508408916218,0,291,"0 , 22.8508408916218 , 291"
"28","Busarakhan","1998",13.3624708333333,0,137.2,"0 , 13.3624708333333 , 137.2"
"29","Busarakhan","1999",26.2869481268012,0,906,"0 , 26.2869481268012 , 906"
"30","Busarakhan","2000",27.8991374663073,0.002,500,"0.002 , 27.8991374663073 , 500"
"31","Busarakhan","2001",21.6438466666667,0,244,"0 , 21.6438466666667 , 244"
"32","Busarakhan","2002",28.070265993266,0,336,"0 , 28.070265993266 , 336"
"33","Busarakhan","2003",92.4472412698413,0,21665.84,"0 , 92.4472412698413 , 21665.84"
"34","Busarakhan","2004",21.2765355932203,0,298.9,"0 , 21.2765355932203 , 298.9"
"35","Busarakhan","2005",29.070282651751,0,696,"0 , 29.070282651751 , 696"
"36","Busarakhan","2006",29.479383463035,0.005,626,"0.005 , 29.479383463035 , 626"
"37","Busarakhan","2007",24.3279098883573,0,578,"0 , 24.3279098883573 , 578"
"38","Busarakhan","2008",30.2944512448133,0,541,"0 , 30.2944512448133 , 541"
"39","Busarakhan","2009",23.7028139097744,0,780,"0 , 23.7028139097744 , 780"
"40","Busarakhan","2010",23.2614989769821,0.004,494,"0.004 , 23.2614989769821 , 494"
"41","Busarakhan","2011",37.8817801857585,0,646,"0 , 37.8817801857585 , 646"
