"","location","Year","measure","mean_v","min_v","max_v","range"
"1","Achara","2009","Ammonium",0.164916666666667,0.016,0.552,"0.016 , 0.164916666666667 , 0.552"
"2","Achara","2009","Anionic active surfactants",0.034,0.034,0.034,"0.034 , 0.034 , 0.034"
"3","Achara","2009","Arsenic",0.825,0.5,1.7,"0.5 , 0.825 , 1.7"
"4","Achara","2009","Bicarbonates",112.341666666667,91.5,134.2,"91.5 , 112.341666666667 , 134.2"
"5","Achara","2009","Biochemical Oxygen",2.25,1.2,3,"1.2 , 2.25 , 3"
"6","Achara","2009","Cadmium",0.3,0.3,0.3,"0.3 , 0.3 , 0.3"
"7","Achara","2009","Calcium",36.525,25.9,47.4,"25.9 , 36.525 , 47.4"
"8","Achara","2009","Chemical Oxygen Demand (Cr)",7.025,5,13,"5 , 7.025 , 13"
"9","Achara","2009","Chemical Oxygen Demand (Mn)",1.95,0,5,"0 , 1.95 , 5"
"10","Achara","2009","Chlorides",8.325,5.8,11.9,"5.8 , 8.325 , 11.9"
"11","Achara","2009","Chromium",0.85,0,3.8,"0 , 0.85 , 3.8"
"12","Achara","2009","Copper",6.5875,2.4,14.9,"2.4 , 6.5875 , 14.9"
"13","Achara","2009","Cyanides",0.0025,0.0025,0.0025,"0.0025 , 0.0025 , 0.0025"
"14","Achara","2009","Dissolved oxygen",9.66666666666667,6.4,11.9,"6.4 , 9.66666666666667 , 11.9"
"15","Achara","2009","Dissolved silicates",7.26875,5.23,8.85,"5.23 , 7.26875 , 8.85"
"16","Achara","2009","Iron",0.1975,0.08,0.38,"0.08 , 0.1975 , 0.38"
"17","Achara","2009","Lead",0.7875,0.5,1.7,"0.5 , 0.7875 , 1.7"
"18","Achara","2009","Magnesium",5.85,4.5,7.1,"4.5 , 5.85 , 7.1"
"19","Achara","2009","Manganese",0.19875,0.04,0.9,"0.04 , 0.19875 , 0.9"
"20","Achara","2009","Mercury",0.5,0.5,0.5,"0.5 , 0.5 , 0.5"
"21","Achara","2009","Nickel",1.6375,0.5,3.5,"0.5 , 1.6375 , 3.5"
"22","Achara","2009","Nitrates",1.28066666666667,0.255,1.984,"0.255 , 1.28066666666667 , 1.984"
"23","Achara","2009","Nitrites",0.0436666666666667,0.003,0.21,"0.003 , 0.0436666666666667 , 0.21"
"24","Achara","2009","Organic nitrogen",0.442166666666667,0,0.997,"0 , 0.442166666666667 , 0.997"
"25","Achara","2009","Orthophosphate-phosphorus",0.119333333333333,0.0133,0.2282,"0.0133 , 0.119333333333333 , 0.2282"
"26","Achara","2009","Petroleum hydrocarbons",0.0249230769230769,0.01,0.065,"0.01 , 0.0249230769230769 , 0.065"
"27","Achara","2009","Sodium",7.575,5.2,10.9,"5.2 , 7.575 , 10.9"
"28","Achara","2009","Sulphates",22.7,17.9,31.1,"17.9 , 22.7 , 31.1"
"29","Achara","2009","Total coliforms",5478.33333333333,170,16090,"170 , 5478.33333333333 , 16090"
"30","Achara","2009","Total dissolved salts",184.166666666667,119,236,"119 , 184.166666666667 , 236"
"31","Achara","2009","Total nitrogen",1.835,0.9,2.85,"0.9 , 1.835 , 2.85"
"32","Achara","2009","Total phosphorus",0.173333333333333,0.05,0.32,"0.05 , 0.173333333333333 , 0.32"
"33","Achara","2009","Water temperature",14.9166666666667,5.5,26,"5.5 , 14.9166666666667 , 26"
"34","Achara","2009","Zinc",13.3333333333333,5,38,"5 , 13.3333333333333 , 38"
"35","Achara","2010","Ammonium",0.118740740740741,0.006,0.528,"0.006 , 0.118740740740741 , 0.528"
"36","Achara","2010","Arsenic",1.00833333333333,0.5,1.8,"0.5 , 1.00833333333333 , 1.8"
"37","Achara","2010","Biochemical Oxygen",2.15833333333333,1,2.9,"1 , 2.15833333333333 , 2.9"
"38","Achara","2010","Cadmium",0.2625,0.25,0.4,"0.25 , 0.2625 , 0.4"
"39","Achara","2010","Calcium",35.6,27.3,43.2,"27.3 , 35.6 , 43.2"
"40","Achara","2010","Chemical Oxygen Demand (Cr)",7.18333333333333,5,10,"5 , 7.18333333333333 , 10"
"41","Achara","2010","Chemical Oxygen Demand (Mn)",3.63333333333333,2.1,6,"2.1 , 3.63333333333333 , 6"
"42","Achara","2010","Chlorides",9.375,5.4,15.2,"5.4 , 9.375 , 15.2"
"43","Achara","2010","Chromium",0.69,0.3,2.3,"0.3 , 0.69 , 2.3"
"44","Achara","2010","Copper",8.89166666666667,2.7,56,"2.7 , 8.89166666666667 , 56"
"45","Achara","2010","Dissolved oxygen",10.225,7.5,14.3,"7.5 , 10.225 , 14.3"
"46","Achara","2010","Dissolved silicates",8.75611538461538,5.574,16.833,"5.574 , 8.75611538461538 , 16.833"
"47","Achara","2010","Inorganic nitrogen",1.67833333333333,0.811,3.759,"0.811 , 1.67833333333333 , 3.759"
"48","Achara","2010","Lead",0.958333333333333,0.5,1.8,"0.5 , 0.958333333333333 , 1.8"
"49","Achara","2010","Magnesium",6.19166666666667,4,11.9,"4 , 6.19166666666667 , 11.9"
"50","Achara","2010","Mercury",1,1,1,"1 , 1 , 1"
"51","Achara","2010","Nickel",2.27,1,6.3,"1 , 2.27 , 6.3"
"52","Achara","2010","Nitrates",1.51110296296296,0.73676,3.73126,"0.73676 , 1.51110296296296 , 3.73126"
"53","Achara","2010","Nitrites",0.0484148148148148,0.01216,0.16112,"0.01216 , 0.0484148148148148 , 0.16112"
"54","Achara","2010","Organic nitrogen",0.66,0.15,2.12,"0.15 , 0.66 , 2.12"
"55","Achara","2010","Orthophosphate-phosphorus",0.218888888888889,0.09,0.53,"0.09 , 0.218888888888889 , 0.53"
"56","Achara","2010","Total nitrogen",2.276,0.96,5.67,"0.96 , 2.276 , 5.67"
"57","Achara","2010","Total phosphorus",0.323703703703704,0.12,0.82,"0.12 , 0.323703703703704 , 0.82"
"58","Achara","2010","Water temperature",12,3,23,"3 , 12 , 23"
"59","Achara","2010","Zinc",16.5454545454545,9,41,"9 , 16.5454545454545 , 41"
"60","Achara","2011","Ammonium",0.0817083333333333,0,0.279,"0 , 0.0817083333333333 , 0.279"
"61","Achara","2011","Arsenic",1.20555555555556,0,2.4,"0 , 1.20555555555556 , 2.4"
"62","Achara","2011","Biochemical Oxygen",3.37826086956522,1.4,5.9,"1.4 , 3.37826086956522 , 5.9"
