"","measure","Year","Waterway_1","Waterway_2","Waterway_3","Waterway_4"
"9","AGOC-3A","2014","0.429088954215355","0.372189738096185","0","0"
"10","AGOC-3A","2015","1.10278501410003","0.590766564373765","0","0"
"11","AGOC-3A","2016","9.92738834256732","47.8327284765417","0","0"
"74","Arsenic","1998","0","0","0","0"
"75","Arsenic","2004","100+","100+","0","0"
"76","Arsenic","2008","100+","100+","0","0"
"77","Arsenic","2009","0.0475953839406858","0.104962616595843","0","-0.251231527093596"
"78","Arsenic","2010","0.0621677875901135","0.0574913611047883","0","0"
"79","Arsenic","2011","100+","100+","0","0.333333333333333"
"80","Arsenic","2012","100+","100+","0","0"
"81","Arsenic","2013","100+","100+","0","0"
"82","Arsenic","2014","100+","0.011287703487192","0","0.0749650665783674"
"83","Arsenic","2015","0.0427832057863018","0.0400452724949629","100+","0.223753710127866"
"84","Arsenic","2016","0.0267328183208401","0.00390772691020593","0","0.00419255657916159"
"261","Chlorodinine","2014","0.0115015932304066","0.0170480354807652","0","0"
"262","Chlorodinine","2015","0.011875947368118","0.0142557888740795","0","0"
"263","Chlorodinine","2016","11.8478158336481","0.918338891985575","0","0"
"527","Methylosmoline","2014","0.00751194218921151","0.0070145340182751","0","0"
"528","Methylosmoline","2015","0.675080455711342","0.363372213445084","0","0"
"529","Methylosmoline","2016","1.30197612017388","1.30420544690942","0","0"
