"","location","sample.date","AGOC-3A","Arsenic","Chlorodinine","Methylosmoline","Date","Year"
"1","Achara","10-Dec-11",0,1,0,0,2011-12-10,2011
"2","Achara","10-Dec-12",0,1,0,0,2012-12-10,2012
"3","Achara","11-Aug-11",0,1,0,0,2011-08-11,2011
"4","Achara","11-Dec-10",0,1,0,0,2010-12-11,2010
"5","Achara","11-Feb-11",0,1,0,0,2011-02-11,2011
"6","Achara","11-Jul-09",0,1,0,0,2009-07-11,2009
"7","Achara","11-Jun-11",0,1,0,0,2011-06-11,2011
"8","Achara","11-Nov-11",0,1,0,0,2011-11-11,2011
"9","Achara","11-Oct-09",0,1,0,0,2009-10-11,2009
"10","Achara","12-Apr-13",0,1,0,0,2013-04-12,2013
"11","Achara","12-Aug-10",0,1,0,0,2010-08-12,2010
"12","Achara","12-Jun-09",0,1,0,0,2009-06-12,2009
"13","Achara","13-Dec-13",0,1,0,0,2013-12-13,2013
"14","Achara","13-Feb-09",0,1,0,0,2009-02-13,2009
"15","Achara","13-May-11",0,1,0,0,2011-05-13,2011
"16","Achara","13-Oct-11",0,1,0,0,2011-10-13,2011
"17","Achara","14-Jul-11",0,1,0,0,2011-07-14,2011
"18","Achara","14-Jun-13",0,1,0,0,2013-06-14,2013
"19","Achara","14-Mar-13",0,1,0,0,2013-03-14,2013
"20","Achara","14-Sep-11",0,1,0,0,2011-09-14,2011
"21","Achara","15-Feb-13",0,1,0,0,2013-02-15,2013
"22","Achara","15-Jan-09",0,1,0,0,2009-01-15,2009
"23","Achara","15-Nov-13",0,1,0,0,2013-11-15,2013
"24","Achara","16-Apr-10",0,1,0,0,2010-04-16,2010
"25","Achara","16-Apr-11",0,1,0,0,2011-04-16,2011
"26","Achara","16-Aug-12",0,1,0,0,2012-08-16,2012
"27","Achara","16-Aug-13",0,1,0,0,2013-08-16,2013
"28","Achara","16-Jan-10",0,1,0,0,2010-01-16,2010
"29","Achara","16-Jul-10",0,1,0,0,2010-07-16,2010
"30","Achara","16-Jun-12",0,1,0,0,2012-06-16,2012
"31","Achara","16-May-13",0,1,0,0,2013-05-16,2013
"32","Achara","16-Nov-12",0,1,0,0,2012-11-16,2012
"33","Achara","17-Apr-09",0,1,0,0,2009-04-17,2009
"34","Achara","17-Feb-12",0,1,0,0,2012-02-17,2012
"35","Achara","17-Jan-13",0,1,0,0,2013-01-17,2013
"36","Achara","17-Jun-10",0,1,0,0,2010-06-17,2010
"37","Achara","17-Jun-11",0,1,0,0,2011-06-17,2011
"38","Achara","17-Mar-12",0,1,0,0,2012-03-17,2012
"39","Achara","17-Sep-10",0,1,0,0,2010-09-17,2010
"40","Achara","18-Feb-11",0,1,0,0,2011-02-18,2011
"41","Achara","18-Jul-13",0,1,0,0,2013-07-18,2013
"42","Achara","18-Mar-11",0,1,0,0,2011-03-18,2011
"43","Achara","18-Oct-13",0,1,0,0,2013-10-18,2013
"44","Achara","19-Mar-09",0,1,0,0,2009-03-19,2009
"45","Achara","19-Mar-10",0,1,0,0,2010-03-19,2010
"46","Achara","19-May-12",0,1,0,0,2012-05-19,2012
"47","Achara","19-Nov-09",0,1,0,0,2009-11-19,2009
"48","Achara","19-Nov-10",0,1,0,0,2010-11-19,2010
"49","Achara","20-Feb-10",0,1,0,0,2010-02-20,2010
"50","Achara","20-Jan-12",0,1,0,0,2012-01-20,2012
"51","Achara","20-May-10",0,1,0,0,2010-05-20,2010
"52","Achara","21-Apr-12",0,1,0,0,2012-04-21,2012
"53","Achara","21-Jan-11",0,1,0,0,2011-01-21,2011
"54","Achara","21-Jul-12",0,1,0,0,2012-07-21,2012
"55","Achara","21-Oct-12",0,1,0,0,2012-10-21,2012
"56","Achara","21-Sep-12",0,1,0,0,2012-09-21,2012
"57","Achara","21-Sep-13",0,1,0,0,2013-09-21,2013
"58","Achara","22-Oct-10",0,1,0,0,2010-10-22,2010
"59","Achara","27-May-11",0,1,0,0,2011-05-27,2011
"60","Achara","28-Sep-11",0,1,0,0,2011-09-28,2011
"61","Achara","31-Mar-11",0,1,0,0,2011-03-31,2011
"62","Achara","8-Oct-11",0,1,0,0,2011-10-08,2011
"63","Boonsri","07-Nov-15",3,0,3,3,2015-11-07,2015
"64","Boonsri","09-Sep-15",3,0,3,3,2015-09-09,2015
"65","Boonsri","11-Apr-98",0,2,0,0,1998-04-11,1998
"66","Boonsri","11-Dec-14",0,3,0,0,2014-12-11,2014
"67","Boonsri","11-Jan-15",1,0,1,1,2015-01-11,2015
"68","Boonsri","11-Jan-98",0,1,0,0,1998-01-11,1998
"69","Boonsri","11-Jul-08",0,3,0,0,2008-07-11,2008
"70","Boonsri","11-Jul-98",0,2,0,0,1998-07-11,1998
"71","Boonsri","12-Dec-14",3,0,3,3,2014-12-12,2014
"72","Boonsri","12-Mar-98",0,1,0,0,1998-03-12,1998
"73","Boonsri","13-Dec-12",0,1,0,0,2012-12-13,2012
"74","Boonsri","13-Dec-15",3,0,3,3,2015-12-13,2015
"75","Boonsri","14-Apr-13",0,3,0,0,2013-04-14,2013
"76","Boonsri","14-Dec-13",0,3,0,0,2013-12-14,2013
"77","Boonsri","14-Nov-13",0,3,0,0,2013-11-14,2013
"78","Boonsri","15-Apr-12",0,3,0,0,2012-04-15,2012
"79","Boonsri","15-Feb-12",0,3,0,0,2012-02-15,2012
