"","ID","1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene","Acenaphthene","Acenaphthylene","AGOC-3A","Alachlor","Aldrin","alpha-Hexachlorocyclohexane","Aluminium","Ammonium","Anionic active surfactants","Anthracene","AOX","Arsenic","Atrazine","Barium","Benzo(a)anthracene","Benzo(a)pyrene","Benzo(b)fluoranthene","Benzo(g,h,i)perylene","Benzo(k)fluoranthene","Berilium","beta-Hexaxchlorocyclohexane","Bicarbonates","Biochemical Oxygen","Boron","Cadmium","Calcium","Carbonates","Cesium","Chemical Oxygen Demand (Cr)","Chemical Oxygen Demand (Mn)","Chlorides","Chlorodinine","Chromium","Chrysene","Copper","Cyanides","Dieldrin","Dissolved organic carbon","Dissolved oxygen","Dissolved silicates","Endosulfan (alpha)","Endosulfan (beta)","Endrin","Fecal coliforms","Fecal streptococci ","Fluoranthene","Fluorene","gamma-Hexachlorocyclohexane","Heptachlor","Heptachloroepoxide","Hexachlorobenzene","Indeno(1,2,3-c,d)pyrene","Inorganic nitrogen","Iron","Isodrin","Lead","Macrozoobenthos","Magnesium","Manganese","Mercury","Methoxychlor","Methylosmoline","Metolachlor","Naphthalene","Nickel","Nitrates","Nitrites","Organic nitrogen","Orthophosphate-phosphorus","Oxygen saturation","p,p-DDD","p,p-DDE","p,p-DDT","PAHs","PCB 101","PCB 118","PCB 138","PCB 153","PCB 180","PCB 28","PCB 52","Pentachlorobenzene","Petroleum hydrocarbons","Phenanthrene","Potassium","Pyrene","Selenium","Silica (SiO2)","Simazine","Sodium","Sulfides","Sulphates","Tetrachloromethane","Total coliforms","Total dissolved phosphorus","Total dissolved salts","Total extractable matter","Total hardness","Total nitrogen","Total organic carbon","Total phosphorus","Trifluralin","Water temperature","Zinc"
"1","Achara 10-Apr-10",0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.574,0,0,0,0,0,0,0,0,0,0,0,0,1.742,0,0,0,0,0,0,0,0,0,0,0,0,1.69274,0.01824,0.78,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0.25,0,0,0
"2","Achara 10-Dec-09",0,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2.7,0,0,0,0,0,5,4.3,0,0,0,0,0,0.0025,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987,0.012,0.261,0.0684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,1.26,0,0.11,0,6,5
"3","Achara 10-Dec-10",0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126,0,0,0,0,0,0,0,0,0,0,0,0,0.93112,0.03952,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0.22,0,0,0
"4","Achara 10-Dec-11",0,0,0,0,0,0,0,0,0,0.089,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,0,0,0,2.1,11.6,0,0,0,2.4,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,20.4,0,0,0,0,0,0,0,1.93,0.018,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0.08,0,1,7
"5","Achara 10-Dec-12",0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0.25,34.7,0,0,23,7.4,7.2,0,0,0,3.1,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,4.9,0,0,0,0,0,0,0,0.48,0.045,0.27,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,1,0,0.445,0,5,25
"6","Achara 10-Dec-16",0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,105.6,1.2,0,0,30.9,0,0,13,2.4,7.5,0,0,0,0,0,0,0,11.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0.82,0.015,0,0.022,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,7.7,0,15.2,0,0,0,0,0,98.3,1.35,0,0.08,0,7,0
"7","Achara 10-Feb-12",0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.015,0.32,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0.089,0,3,0
"8","Achara 10-Sep-09",0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,115.9,2.1,0,0,0,0,0,7,0,0,0,0,0,0,0.0025,0,0,8.7,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.984,0.042,1.216,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,2.7,0,0.28,0,17,5
"9","Achara 11-Aug-11",0,0,0,0,0,0,0,0,0,0.027,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,3.5,0,0,37,0,0,0,1.7,10.4,0,1.1,0,2,0,0,0,9.4,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.6,0,0,0,0,0,0,1,1.28,0.034,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.174,0,25,5
"10","Achara 11-Dec-10",0,0,0,0,0,0,0,0,0,0.155,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.7,0,0.25,40.1,0,0,9,3.1,9.2,0,0,0,4.2,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189,0,0,1.3,0,6,0,1,0,0,0,0,0,1.01248,0.02128,0.24,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0.31,0,4,10
